common name,latin binomial,group_size,N,% of groups,source,reference
placid greenbul,Phyllastrephus_placidus,2,21,33,Figure 3.1,Van de Loock. D. (2019) Life-history strategies of a facultative cooperative breeder in a fragmented Afrotropical cloud forest. PhD Thesis. Ghent University and the University of Antwerp.
placid greenbul,Phyllastrephus_placidus,3,22,35,Figure 3.1,ibid.
placid greenbul,Phyllastrephus_placidus,4,13,21,Figure 3.1,ibid.
placid greenbul,Phyllastrephus_placidus,5,4,6,Figure 3.1,ibid.
placid greenbul,Phyllastrephus_placidus,6,2,3,Figure 3.1,ibid.
placid greenbul,Phyllastrephus_placidus,7,1,2,Figure 3.1,ibid.
red-cockaded woodpecker,Picoides_borealis,2,4842,53,Table 4.2,Walters. J. R.. & Garcia. V. (2016). Red-cockaded woodpeckers: Alternative pathways to breeding success. In W. D. Koenig & J. L. Dickinson (Eds.). Cooperative Breeding in Vertebrates (pp. 58–76). Cambridge: Cambridge University Press.
red-cockaded woodpecker,Picoides_borealis,3,2991,33,Table 4.2,ibid.
red-cockaded woodpecker,Picoides_borealis,4,1006,11,Table 4.2,ibid.
red-cockaded woodpecker,Picoides_borealis,5+,253,3,Table 4.2,ibid.
white-browed sparrow weaver,Plocepasser_mahali,2,59,19,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'","Lewis. D. M. (1981). Determinants of reproductive success of the white-browed sparrow weaver. Plocepasser mahali. Behavioral Ecology and Sociobiology. 9(2). 83–93, Capilla-Lasheras. P.. X. Harrison. E. M. Wood. A. J. Wilson. A. J. Young. Altruistic bet-hedging and the evolution of cooperation in a Kalahari bird. Sci. Adv. 7. eabe8980 (2021)."
white-browed sparrow weaver,Plocepasser_mahali,3,66,21,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,4,55,18,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,5,47,15,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,6,43,14,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,7,25,8,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,8,10,3,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
white-browed sparrow weaver,Plocepasser_mahali,9,4,1,"Table 2, calculated from Supplementary file '3 - Bivariate models - RAW DATA.csv'",ibid.
chestnut-crowned babbler,Pomatostomus_ruficeps,2,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,3,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,4,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,5,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,6,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,7,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,8,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,9,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,10,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,12,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,13,NA,NA,NA,NA
chestnut-crowned babbler,Pomatostomus_ruficeps,15,NA,NA,NA,NA
grey-crowned babbler,Pomatostomus_temporalis,2,10,13,Figure 1,Eguchi. K.. Yamaguchi. N.. Ueda. K.. Nagata. H.. Takagi. M. & Nose. R. (2007) Social structure and helping behaviour of the Grey-crowned Babbler Pomatostomus temporalis. J Ornithol 148: S203–S210.
grey-crowned babbler,Pomatostomus_temporalis,3,18,24,Figure 1,ibid.
grey-crowned babbler,Pomatostomus_temporalis,4,19,25,Figure 1,ibid.
grey-crowned babbler,Pomatostomus_temporalis,5,11,15,Figure 1,ibid.
grey-crowned babbler,Pomatostomus_temporalis,6,11,15,Figure 1,ibid.
grey-crowned babbler,Pomatostomus_temporalis,7,3,4,Figure 1,ibid.
grey-crowned babbler,Pomatostomus_temporalis,8,2,3,Figure 1,ibid.
grey-crowned babbler,Pomatostomus_temporalis,9,1,1,Figure 1,ibid.
Tibetan ground tit,Pseudopodoces_humilis,2,NA,63,methods,Zhao. Q. et al. (2019) Egg investment in response to helper presence in cooperatively breeding Tibetan ground tits. Journal of Avian Biology e02075.
Tibetan ground tit,Pseudopodoces_humilis,3,NA,31,methods,ibid.
Tibetan ground tit,Pseudopodoces_humilis,4,NA,5,methods,ibid.
Tibetan ground tit,Pseudopodoces_humilis,5,NA,1,methods,ibid.
rufous vanga,Schetba_rufa,2,158,63,Table 1,Asai. .S. Yamagishi. S. & Eguchi. K. (2001) History of group composition of the Rufous Vanga Schetba rufa at Ampijoroa in Northwestern Madagascar. Mem. Fac. Sci. Kyoto Uni. 17: 33-40.
rufous vanga,Schetba_rufa,3,39,16,Table 1,ibid.
rufous vanga,Schetba_rufa,4,41,16,Table 1,ibid.
rufous vanga,Schetba_rufa,5,13,5,Table 1,ibid.
toucan barbet,Semnornis_ramphastinus,2,NA,NA,NA,NA
toucan barbet,Semnornis_ramphastinus,3,NA,NA,NA,NA
toucan barbet,Semnornis_ramphastinus,4,NA,NA,NA,NA
Pygmy Nuthatch,Sitta_pygmaea,2,NA,NA,NA,NA
Pygmy Nuthatch,Sitta_pygmaea,3,NA,NA,NA,NA
Pygmy Nuthatch,Sitta_pygmaea,4,NA,NA,NA,NA
Pygmy Nuthatch,Sitta_pygmaea,5,NA,NA,NA,NA
apostlebird,Struthidea_cinerea,2,0,0,Figure 1,Woxvold. I. A. (2004). Breeding ecology and group dynamics of the apostlebird. Australian Journal of Zoology. 52(6). 561-581.
apostlebird,Struthidea_cinerea,3,4,7,Figure 1,ibid.
apostlebird,Struthidea_cinerea,4,8,13,Figure 1,ibid.
apostlebird,Struthidea_cinerea,5,8,13,Figure 1,ibid.
apostlebird,Struthidea_cinerea,6,12,20,Figure 1,ibid.
apostlebird,Struthidea_cinerea,7,4,7,Figure 1,ibid.
apostlebird,Struthidea_cinerea,8,7,11,Figure 1,ibid.
apostlebird,Struthidea_cinerea,9,3,5,Figure 1,ibid.
apostlebird,Struthidea_cinerea,10,3,5,Figure 1,ibid.
apostlebird,Struthidea_cinerea,11,1,2,Figure 2,ibid.
apostlebird,Struthidea_cinerea,12,3,5,Figure 3,ibid.
apostlebird,Struthidea_cinerea,13,1,2,Figure 4,ibid.
apostlebird,Struthidea_cinerea,14,2,3,Figure 5,ibid.
apostlebird,Struthidea_cinerea,15,2,3,Figure 6,ibid.
apostlebird,Struthidea_cinerea,16,1,2,Figure 7,ibid.
apostlebird,Struthidea_cinerea,17,2,3,Figure 8,ibid.
