common name,latin binomial,measure,mean,standard_dev,variance,N_rs,group_size,source_rs,reference_rs,% of groups,N_freq,source_freq,reference_freq
superb fairy-wren,Malurus_cyaneus,number of fledglings,3,5.5,30.5,339,3,Figure 3c,ibid.,25,339,Figure 3a,ibid.
superb fairy-wren,Malurus_cyaneus,number of fledglings,3.2,3.7,13.6,151,4,Figure 3c,ibid.,11,151,Figure 3a,ibid.
superb fairy-wren,Malurus_cyaneus,number of fledglings,2.4,2.4,5.6,35,5,Figure 3c,ibid.,3,35,Figure 3a,ibid.
superb fairy-wren,Malurus_cyaneus,number of fledglings,3.8,2.3,5.4,11,6,Figure 3c,ibid.,1,11,Figure 3a,ibid.
red-winged fairy-wren,Malurus_elegans,number of fledglings,1.21,2.61,7.26,168,2,"Table 11, Figure 3d","Russell. E. & Rowley. I. (2000) Demography and social organisation of the red-winged fairy-wren. Malurus elegans. Australian Journal of Zoology. 48. 161–200, Brouwer. L.. Cockburn. A.. & van de Pol . M. (2020). Integrating fitness components reveals that survival costs outweigh other benefits and costs of group living in two closely related species. The American Naturalist. 195(2). 201–215.",21,203,"Table 1, Figure 3b","Russell. E. & Rowley. I. (2000) Demography and social organisation of the red-winged fairy-wren. Malurus elegans. Australian Journal of Zoology. 48. 161–200, Brouwer. L.. Cockburn. A.. & van de Pol . M. (2020). Integrating fitness components reveals that survival costs outweigh other benefits and costs of group living in two closely related species. The American Naturalist. 195(2). 201–215. "
red-winged fairy-wren,Malurus_elegans,number of fledglings,1.35,2.66,7.72,217,3,"Table 11, Figure 3d",ibid.,27,260,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,number of fledglings,1.59,2.39,6.16,226,4,"Table 11, Figure 3d",ibid.,25,240,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,number of fledglings,0.83,1.4,2,70,5,"Table 11, Figure 3d",ibid.,16,154,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,number of fledglings,0.92,1.4,2.1,39,6,"Table 11, Figure 3d",ibid.,7,72,"Table 1, Figure 3b",ibid.
white-fronted bee-eater,Merops_bullockoides,number of fledged young,0.45,0.78,0.6,94,2,Figure 1,Emlen. S. T.. & Wrege. P. H. (1991). Breeding biology of white-fronted bee-eaters at Nakuru: the influence of helpers on breeder fitness. The Journal of Animal Ecology. 60. 1: 309-326,50,308,Figure 16.6,Emlen. S. T. In Stacey. P. B.. & Koenig. W. D. (1990). Cooperative Breeding in Birds: Long-term studies of ecology and behavior. (P. B. Stacey & W. D. Koenig). Cambridge: Cambridge University Press.
white-fronted bee-eater,Merops_bullockoides,number of fledged young,1.11,0.69,0.48,59,3,Figure 1,ibid.,30,186,Figure 16.6,ibid.
white-fronted bee-eater,Merops_bullockoides,number of fledged young,1.4,0.69,0.47,24,4,Figure 1,ibid.,14,83,Figure 16.6,ibid.
white-fronted bee-eater,Merops_bullockoides,number of fledged young,1.87,0.69,0.48,9,5,Figure 1,ibid.,4,27,Figure 16.6,ibid.
Hoatzin,Opisthocomus_hoazin,annual fledgling number [presumed],0.32,0.81,0.65,260,2,Figure 5.7,Strahl. S. D.. & Schmitz. A. In Stacey. P. B.. & Koenig. W. D. (1990). Cooperative Breeding in Birds: Long-term studies of ecology and behavior. (P. B. Stacey & W. D. Koenig). Cambridge: Cambridge University Press.,41,149,Figure 2,Strahl. S. D. (1988) The social organization and behaviour of the Hoatzin Opisthocomus hoazin in central Venezuela. Ibis. 130: 483-502.
Hoatzin,Opisthocomus_hoazin,annual fledgling number [presumed],0.69,0.98,0.96,171,3,Figure 5.7,ibid.,29,106,Figure 2,ibid.
Hoatzin,Opisthocomus_hoazin,annual fledgling number [presumed],0.9,1.26,1.6,71,4,Figure 5.7,ibid.,14,51,Figure 2,ibid.
Hoatzin,Opisthocomus_hoazin,annual fledgling number [presumed],1.13,1.07,1.16,59,5,Figure 5.7,ibid.,11,40,Figure 2,ibid.
Hoatzin,Opisthocomus_hoazin,annual fledgling number [presumed],1.19,1,0.99,29,6,Figure 5.7,ibid.,4,15,Figure 2,ibid.
sociable weaver,Philetairus_socius,number of fledglings,0.91,1.56,1.34,132,2,"Figure 4a, ""Nesting_Climate_Clutch_GroupSize.csv"" file. considering natural colonies only","Covas. R.. Plessis. du. M. A.. & Doutrelant. C. (2008). Helpers in colonial cooperatively breeding sociable weavers Philetairus socius contribute to buffer the effects of adverse breeding conditions. Behavioral Ecology and Sociobiology. 63(1). 103–112, D'Amelio et al. (2022) Disentangling climatic and nest predator impact on reproductive output reveals adverse high-temperature effects regardless of helper number in an arid-region cooperative bird. Ecology Letters. 25. 151-162.",28,103,Figure S1,D'Amelio et al. (2022) Disentangling climatic and nest predator impact on reproductive output reveals adverse high-temperature effects regardless of helper number in an arid-region cooperative bird. Ecology Letters. 25. 151-162.
sociable weaver,Philetairus_socius,number of fledglings,1.18,1.29,1.68,120,3,"Figure 4a, ""Nesting_Climate_Clutch_GroupSize.csv"" file. considering natural colonies only",ibid.,27,97,Figure S1,ibid.
sociable weaver,Philetairus_socius,number of fledglings,1.45,1.28,1.63,101,4,"Figure 4a, ""Nesting_Climate_Clutch_GroupSize.csv"" file. considering natural colonies only",ibid.,25,89,Figure S1,ibid.
sociable weaver,Philetairus_socius,number of fledglings,1.42,1.27,1.61,57,5,"Figure 4a, ""Nesting_Climate_Clutch_GroupSize.csv"" file. considering natural colonies only",ibid.,14,51,Figure S1,ibid.
